id,category,event_name,target_summary,std_sem_min,std_sem_max,major_scope,major_list,med_pharm_cond,start_dt,end_dt,method,waitlist_reset,warning_msg
BASKET,장바구니,수강신청 전 장바구니,전체,0,99,ALL,,null,2025-08-01T15:00:00,2025-08-03T23:59:59,NONE,FALSE,"선착순 아님, 단순 담기 기능"
CHAPEL_ALL,상시신청,채플 및 학점교류(전기간),전체,0,99,ALL,,null,2025-08-04T09:00:00,2025-09-05T15:00:00,FCFS,FALSE,"채플 및 학점교류 과목 신청/변경 가능"
PRIORITY_01,우선신청,우선수강신청(경영),경영대 전학년,0,99,INCLUDE,"경영학부, 경영학과",null,2025-08-04T13:00:00,2025-08-04T16:00:00,FCFS,FALSE,"주전공/복수전공생 포함"
PRIORITY_02,우선신청,우선수강신청(타전공),특정학과 2학년 이상,2,99,INCLUDE,"정치외교, 경제, 심리, 커뮤니케이션, 통계, 컴퓨터공학",null,2025-08-04T13:00:00,2025-08-04T16:00:00,FCFS,FALSE,"해당 학과 주/복수전공생 (2~4학년)"
REG_04,본신청,4학년 수강신청,4학년 이상,6,99,ALL,,"약대: 편입생 10학기 이상(6학년), 의학: 4학년",2025-08-05T09:00:00,2025-08-05T12:00:00,WAITLIST,TRUE,"4학년 수강신청 종료 후 대기 초기화"
REG_05,본신청,3학년 수강신청,3학년,4,5,ALL,,"약대: 편입생 8~9학기(5학년), 의학: 3학년",2025-08-05T13:00:00,2025-08-05T16:00:00,WAITLIST,TRUE,"3학년 수강신청 종료 후 대기 초기화"
REG_06,본신청,3~4학년 수강신청,3학년 이상,4,99,ALL,,"약대: 편입생 8학기 이상(5,6학년), 의학: 3~4학년",2025-08-05T17:00:00,2025-08-05T23:59:59,WAITLIST,TRUE,"3,4학년 통합 신청 기간"
REG_07,본신청,2학년 수강신청,2학년,2,3,ALL,,"의학: 2학년",2025-08-06T09:00:00,2025-08-06T12:00:00,WAITLIST,TRUE,"2학년 수강신청 종료 후 대기 초기화"
REG_08,본신청,1학년 수강신청,1학년,0,1,ALL,,"의학: 1학년",2025-08-06T13:00:00,2025-08-06T16:00:00,WAITLIST,TRUE,"1학년 수강신청 종료 후 대기 초기화"
REG_09,본신청,1~2학년 수강신청,2학년 이하,0,3,ALL,,"의학: 1~2학년",2025-08-06T17:00:00,2025-08-06T23:59:59,WAITLIST,TRUE,"1,2학년 통합 신청 기간"
REG_ALL,본신청,전체학년 수강신청,전체,0,99,ALL,,null,2025-08-07T09:00:00,2025-08-08T17:00:00,WAITLIST,TRUE,"전체 학년 대상"
CONFIRM,수강정정,확인 및 변경기간,전체,0,99,ALL,,null,2025-09-01T09:00:00,2025-09-05T15:00:00,DELAYED,FALSE,"취소지연제 적용 (취소석 발생 시 즉시 신청 불가, 매시간 30분 단위로 취소석 오픈)"
CANCEL_ONLY,폐강정정,폐강과목 수강정정,폐강강좌 수강생,0,99,ALL,,null,2025-09-08T13:00:00,2025-09-09T12:00:00,NONE,FALSE,"폐강 교과목 외 교과목에 대한 수강 변경 및 취소는 불가능함"
WITHDRAWAL,수강철회,수강철회 기간,전체,0,99,ALL,,null,2025-09-22T09:00:00,2025-09-26T17:00:00,NONE,FALSE,"수강철회 기간 (신청 불가, 취소만 가능)"
