academic_year,start_date,end_date,semester,event_type,title_raw,target,is_holiday,notes
2025,2025-02-01,2025-02-28,1,return_from_leave,2025학년도 1학기 복학신청,재학생,0,
2025,2025-02-10,2025-02-13,1,course_registration,2025학년도 1학기 재학생 수강신청,재학생,0,
2025,2025-02-23,2025-02-23,1,ceremony_graduation,졸업예배,전체,0,
2025,2025-02-24,2025-02-24,1,ceremony_graduation,2024학년도 전기 학위수여식,졸업생,0,
2025,2025-02-25,2025-02-26,1,course_registration,2025학년도 1학기 신입생 수강신청,신입생,0,
2025,2025-02-28,2025-02-28,1,ceremony_admission,2025학년도 입학식,신입생,0,
2025,2025-03-01,2025-03-01,1,holiday,3.1절 공휴일,전체,1,
2025,2025-03-03,2025-03-03,1,holiday,3.1절 대체공휴일,전체,1,
2025,2025-03-04,2025-03-04,1,semester_start,1학기 개강,전체,0,
2025,2025-03-04,2025-03-10,1,course_change,1학기 수강신청 확인 및 변경,전체,0,
2025,2025-03-17,2025-05-23,1,chapel,1학기 채플 기간,전체,0,04.14-04.25 중간 시험 기간 / 5.1 근로자의날 / 5.5 어린이날 / 5.6 부처님오신날 대체공휴일 채플 제외 - 채플은 한 학기당 2번 결석 허용 (7학기 이상 이수생은 3번 결석 허용)
2025,2025-03-24,2025-03-28,1,course_drop,1학기 교과목 수강철회,전체,0,
2025,2025-04-07,2025-04-10,1,etc,부/복수전공 신청 및 취소,전체,0,
2025,2025-04-21,2025-04-25,1,etc,영어 및 정보인증제 학점인정 신청,전체,0,
2025,2025-04-23,2025-04-25,1,exam_midterm,1학기 교양과목 중간시험,전체,0,
2025,2025-05-01,2025-05-01,1,holiday,근로자의 날 휴무일,전체,1,
2025,2025-05-05,2025-05-05,1,holiday,어린이날/부처님오신날 공휴일,전체,1,
2025,2025-05-06,2025-05-06,1,holiday,부처님오신날 대체공휴일,전체,1,
2025,2025-05-27,2025-05-27,1,chapel,1학기 특별보충채플 1,전체,0,봄과 여름 사이 음악회 오후 6:30~7:30
