academic_year,start_date,end_date,semester,event_type,title_raw,target,is_holiday,notes
2026,2026-02-01,2026-02-28,1,return_from_leave,2026학년도 1학기 복학신청,재학생,0,
2026,2026-02-05,2026-02-10,1,course_registration,2026학년도 1학기 재학생 수강신청,재학생,0,
2026,2026-02-16,2026-02-18,1,holiday,설날 연휴 공휴일,전체,1,
2026,2026-02-19,2026-02-20,1,course_registration,2026학년도 1학기 신입생 수강신청,신입생,0,
2026,2026-02-22,2026-02-22,1,ceremony_graduation,졸업예배,전체,0,
2026,2026-02-23,2026-02-23,1,ceremony_graduation,2025학년도 전기 학위수여식,졸업생,0,
2026,2026-02-27,2026-02-27,1,ceremony_admission,2026학년도 입학식,신입생,0,
2026,2026-03-01,2026-03-01,1,holiday,3.1절 공휴일,전체,1,
2026,2026-03-02,2026-03-02,1,holiday,3.1절 대체공휴일,전체,1,
2026,2026-03-03,2026-03-03,1,semester_start,1학기 개강,전체,0,
2026,2026-03-03,2026-03-09,1,course_change,1학기 수강신청 확인 및 변경,전체,0,
2026,2026-03-23,2026-03-27,1,course_drop,1학기 교과목 수강철회,전체,0,
2026,2026-04-06,2026-04-09,1,etc,부/복수전공 신청 및 취소,전체,0,
2026,2026-04-20,2026-04-24,1,etc,영어 및 정보인증제 학점인정 신청,전체,0,
2026,2026-04-22,2026-04-24,1,exam_midterm,1학기 교양과목 중간시험,전체,0,
2026,2026-05-01,2026-05-01,1,holiday,노동절 공휴일,전체,1,
2026,2026-05-05,2026-05-05,1,holiday,어린이날 공휴일,전체,1,
2026,2026-05-25,2026-05-25,1,holiday,부처님오신날 대체공휴일,전체,1,
2026,2026-05-28,2026-05-28,1,leave_of_absence,1학기 휴학원서 제출 마감,재학생,0,"첫학기 휴학(신입학생, 재입학생, 편입생)은 질병 및 출산의 사유 외에는 원칙적으로 불가하며, 별도 심의를 거쳐 휴학할 수 있음."
2026,2026-05-29,2026-05-29,1,holiday,창립 140주년 기념식 휴무일,전체,1,
2026,2026-05-31,2026-05-31,1,etc,창립 140주년 기념일,전체,0,
2026,2026-06-03,2026-06-03,1,holiday,제9회 전국동시지방선거일 공휴일,전체,1,
2026,2026-06-15,2026-06-29,1,grade_input,1학기 성적입력,전체,0,
2026,2026-06-22,2026-06-22,1,semester_end,1학기 종강,전체,0,
2026,2026-06-29,2026-06-29,summer,season_semester,여름 계절학기 시작,전체,0,여름 계절학기는 월~목 수업 진행
2026,2026-07-17,2026-07-17,summer,holiday,제헌절 공휴일,전체,1,
2026,2026-07-21,2026-07-24,summer,grade_input,여름 계절학기 성적입력,전체,0,
2026,2026-07-22,2026-07-22,summer,season_semester,여름 계절학기 종료,전체,0,
2026,2026-08-01,2026-08-31,2,return_from_leave,2학기 복학신청,재학생,0,
2026,2026-08-03,2026-08-07,2,course_registration,2학기 교과목 수강신청,전체,0,
2026,2026-08-05,2026-08-05,2,course_registration,2학기 신입생 수강신청 (외국인특별전형),신입생,0,
2026,2026-08-17,2026-08-17,2,holiday,광복절 대체공휴일,전체,1,
2026,2026-08-24,2026-08-28,2,regular_registration,2학기 재학생 정규등록,전체,0,
2026,2026-08-28,2026-08-28,2,ceremony_graduation,2025학년도 후기 학위수여식,전체,0,
2026,2026-09-01,2026-09-01,2,semester_start,2학기 개강,전체,0,
2026,2026-09-01,2026-09-07,2,course_change,2학기 수강신청 확인 및 변경,전체,0,
2026,2026-09-24,2026-09-26,2,holiday,추석 연휴 공휴일,전체,1,
2026,2026-09-28,2026-10-02,2,course_drop,2학기 교과목 수강철회,전체,0,
2026,2026-10-01,2026-10-07,2,etc,부/복수전공 신청 및 취소,전체,0,
2026,2026-10-05,2026-10-05,2,holiday,개천절 대체공휴일,전체,1,
2026,2026-10-09,2026-10-09,2,holiday,한글날 공휴일,전체,1,
2026,2026-10-19,2026-10-23,2,etc,영어 및 정보인증제 학점인정 신청,전체,0,
2026,2026-10-21,2026-10-23,2,exam_midterm,2학기 교양과목 중간시험,전체,0,
2026,2026-11-27,2026-11-27,2,leave_of_absence,2학기 휴학원서 제출 마감,재학생,0,"첫학기 휴학(신입학생, 재입학생, 편입생)은 질병 및 출산의 사유 외에는 원칙적으로 불가하며, 별도 심의를 거쳐 휴학할 수 있음."
2026,2026-12-03,2026-12-03,2,etc,이화가족 성탄예배,전체,0,
2026,2026-12-15,2026-12-28,2,grade_input,2학기 성적입력,전체,0,
2026,2026-12-21,2026-12-21,2,semester_end,2학기 종강,전체,0,
2026,2026-12-25,2026-12-25,2,holiday,성탄절 공휴일,전체,1,
2026,2026-12-28,2026-12-28,winter,season_semester,겨울 계절학기 시작,전체,0,겨울 계절학기는 월~금 수업 진행
2027,2027-01-01,2027-01-01,winter,holiday,신정 공휴일,전체,1,
2027,2027-01-15,2027-01-20,winter,grade_input,겨울 계절학기 성적입력,전체,0,
2027,2027-01-18,2027-01-18,winter,season_semester,겨울 계절학기 종료,전체,0,
2027,2027-02-01,2027-02-04,1,course_registration,2027학년도 1학기 재학생 수강신청,재학생,0,
2027,2027-02-01,2027-02-28,1,return_from_leave,2027학년도 1학기 복학신청,재학생,0,
2027,2027-02-06,2027-02-08,1,holiday,설날 연휴 공휴일,전체,1,
2027,2027-02-09,2027-02-09,1,holiday,설날 대체공휴일,전체,1,
2027,2027-02-21,2027-02-21,1,ceremony_graduation,졸업예배,전체,0,
2027,2027-02-22,2027-02-22,1,ceremony_graduation,2026학년도 전기 학위수여식,졸업생,0,
2027,2027-02-22,2027-02-23,1,course_registration,2027학년도 1학기 신입생 수강신청,신입생,0,
2027,2027-02-26,2027-02-26,1,ceremony_admission,2027학년도 입학식,신입생,0,
